player,position,squad,age,minutes,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,progressive_passes,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,progressive_carries
Christos Tzolis,"MF,FW",Norwich City,19-327,202.0,0.08,0.33,0.41,0.08,0.41,3.0,3.12,7.0,0.0,0.0,0.0,0.0,11.0
Raphaël Varane,DF,Manchester Utd,28-242,540.0,0.04,0.02,0.06,0.04,0.06,15.0,0.83,4.0,0.0,0.0,0.0,0.0,26.0
Jamie Vardy,FW,Leicester City,34-346,1231.0,0.44,0.08,0.52,0.44,0.52,19.0,1.83,22.0,0.0,1.0,1.0,1.0,34.0
Joël Veltman,DF,Brighton,29-342,1059.0,0.01,0.06,0.08,0.01,0.08,48.0,1.19,11.0,2.0,0.0,0.0,0.0,29.0
Jannik Vestergaard,DF,Leicester City,29-142,385.0,0.01,0.01,0.02,0.01,0.02,11.0,0.47,2.0,0.0,0.0,0.0,0.0,8.0
Nikola Vlašić,"MF,FW",West Ham,24-080,150.0,0.06,0.13,0.19,0.06,0.19,4.0,4.2,6.0,0.0,0.0,0.0,1.0,12.0
Matěj Vydra,FW,Burnley,29-236,335.0,0.52,0.05,0.57,0.52,0.57,2.0,1.61,5.0,0.0,0.0,0.0,1.0,3.0
Theo Walcott,"MF,FW",Southampton,32-282,290.0,0.21,0.01,0.22,0.21,0.22,3.0,0.93,3.0,0.0,0.0,0.0,0.0,7.0
Kyle Walker,DF,Manchester City,31-209,1035.0,0.01,0.06,0.07,0.01,0.07,53.0,2.0,21.0,0.0,0.0,1.0,1.0,47.0
Kyle Walker-Peters,DF,Southampton,24-254,988.0,0.02,0.11,0.13,0.02,0.13,63.0,2.19,16.0,0.0,2.0,0.0,4.0,93.0
Aaron Wan-Bissaka,DF,Manchester Utd,24-027,1170.0,0.0,0.04,0.05,0.0,0.05,31.0,1.62,17.0,0.0,2.0,1.0,1.0,66.0
Joel Ward,DF,Crystal Palace,32-055,1440.0,0.02,0.02,0.04,0.02,0.04,43.0,0.56,7.0,2.0,0.0,0.0,0.0,56.0
James Ward-Prowse,MF,Southampton,27-052,1325.0,0.16,0.15,0.31,0.06,0.21,52.0,2.85,22.0,17.0,0.0,1.0,0.0,43.0
Ollie Watkins,FW,Aston Villa,25-358,1272.0,0.37,0.07,0.45,0.37,0.45,26.0,2.41,23.0,0.0,3.0,3.0,3.0,54.0
Adam Webster,DF,Brighton,26-353,537.0,0.01,0.0,0.01,0.01,0.01,39.0,0.67,4.0,0.0,0.0,0.0,0.0,47.0
Danny Welbeck,"FW,MF",Brighton,31-027,239.0,0.15,0.0,0.15,0.15,0.15,1.0,0.75,0.0,0.0,0.0,0.0,2.0,10.0
Timo Werner,FW,Chelsea,25-292,545.0,0.53,0.03,0.56,0.53,0.56,9.0,1.49,6.0,0.0,1.0,2.0,0.0,26.0
Ashley Westwood,MF,Burnley,31-266,1149.0,0.04,0.16,0.2,0.04,0.2,57.0,2.51,21.0,9.0,0.0,2.0,0.0,22.0
Ben White,DF,Arsenal,24-076,1440.0,0.01,0.01,0.03,0.01,0.03,37.0,0.81,11.0,0.0,0.0,1.0,0.0,35.0
Brandon Williams,DF,Norwich City,21-111,922.0,0.01,0.03,0.04,0.01,0.04,45.0,1.27,12.0,0.0,0.0,0.0,1.0,49.0
Neco Williams,DF,Liverpool,20-254,8.0,0.0,6.5,6.5,0.0,6.5,0.0,22.5,1.0,0.0,1.0,0.0,0.0,2.0
Joe Willock,MF,Newcastle Utd,22-125,1050.0,0.07,0.06,0.13,0.07,0.13,23.0,2.23,18.0,0.0,5.0,0.0,2.0,42.0
Callum Wilson,FW,Newcastle Utd,29-299,1140.0,0.35,0.03,0.38,0.29,0.32,6.0,1.11,14.0,0.0,0.0,0.0,0.0,19.0
Harry Winks,MF,Tottenham,25-324,254.0,0.0,0.02,0.02,0.0,0.02,14.0,1.42,4.0,0.0,0.0,0.0,0.0,9.0
Yoane Wissa,"FW,MF",Brentford,25-111,173.0,0.21,0.0,0.21,0.21,0.21,2.0,2.08,1.0,0.0,0.0,1.0,2.0,7.0
Chris Wood,FW,Burnley,30-016,1194.0,0.28,0.02,0.3,0.28,0.3,17.0,1.43,15.0,0.0,1.0,2.0,1.0,14.0
Freddie Woodman,GK,Newcastle Utd,24-294,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granit Xhaka,MF,Arsenal,29-087,645.0,0.06,0.08,0.14,0.06,0.14,50.0,2.51,18.0,0.0,0.0,0.0,0.0,33.0
Andriy Yarmolenko,"FW,MF",West Ham,32-061,60.0,0.16,0.04,0.21,0.16,0.21,3.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0
Ashley Young,"FW,DF",Aston Villa,36-167,733.0,0.05,0.03,0.07,0.05,0.07,22.0,1.72,10.0,2.0,1.0,0.0,1.0,28.0
Wilfried Zaha,FW,Crystal Palace,29-043,1355.0,0.23,0.2,0.43,0.13,0.33,65.0,3.32,39.0,0.0,3.0,5.0,3.0,114.0
Oleksandr Zinchenko,DF,Manchester City,25-008,417.0,0.03,0.11,0.14,0.03,0.14,33.0,3.24,12.0,2.0,0.0,0.0,1.0,46.0
Hakim Ziyech,"FW,MF",Chelsea,28-279,550.0,0.41,0.26,0.67,0.41,0.67,30.0,4.91,21.0,1.0,4.0,2.0,1.0,38.0
Kurt Zouma,DF,West Ham,27-057,970.0,0.03,0.0,0.03,0.03,0.03,19.0,0.19,2.0,0.0,0.0,0.0,0.0,15.0
Martin Ødegaard,MF,Arsenal,23-006,1067.0,0.11,0.25,0.37,0.11,0.37,53.0,4.13,35.0,9.0,2.0,2.0,1.0,66.0
